Altium Designer Pick and Place Locations
E:\COLLEGE\_TeamLambda\PCB_Altium\Lambda_V2\Project Outputs for Lambda_V2\Pick Place\Pick Place for Lambda_V2.csv

========================================================================================================================
File Design Information:

Date:       07-01-26
Time:       14:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R48","510 Ohms, 1/8W","TopLayer","RESC2012X60N","6672.000","4063.000","90","RES 510 OHM 1% 1/8W 0805"
"R47","510 Ohms, 1/8W","TopLayer","RESC2012X60N","6674.000","4648.000","90","RES 510 OHM 1% 1/8W 0805"
"R46","510 Ohms, 1/8W","TopLayer","RESC2012X60N","6664.000","2377.000","90","RES 510 OHM 1% 1/8W 0805"
"R45","510 Ohms, 1/8W","TopLayer","RESC2012X60N","6671.000","2963.000","90","RES 510 OHM 1% 1/8W 0805"
"R44","10k","TopLayer","RESC1005X40N","6735.000","5743.071","90","RES 10K OHM 1% 1/16W 0402"
"R43","10k","TopLayer","RESC1005X40N","6736.000","6328.071","90","RES 10K OHM 1% 1/16W 0402"
"R42","10k","TopLayer","RESC1005X40N","6737.000","4091.071","90","RES 10K OHM 1% 1/16W 0402"
"R41","10k","TopLayer","RESC1005X40N","6739.000","4676.000","90","RES 10K OHM 1% 1/16W 0402"
"R40","10k","TopLayer","RESC1005X40N","6730.000","2405.000","90","RES 10K OHM 1% 1/16W 0402"
"R39","10k","TopLayer","RESC1005X40N","6740.000","2990.000","90","RES 10K OHM 1% 1/16W 0402"
"R38","10k","TopLayer","RESC1005X40N","6547.000","6566.000","90","RES 10K OHM 1% 1/16W 0402"
"R37","10k","TopLayer","RESC1005X40N","6547.000","6645.000","270","RES 10K OHM 1% 1/16W 0402"
"R36","10k","TopLayer","RESC1005X40N","6545.000","4914.929","90","RES 10K OHM 1% 1/16W 0402"
"R35","10k","TopLayer","RESC1005X40N","6545.000","4994.929","270","RES 10K OHM 1% 1/16W 0402"
"R34","10k","TopLayer","RESC1005X40N","6550.000","3240.000","90","RES 10K OHM 1% 1/16W 0402"
"R33","10k","TopLayer","RESC1005X40N","6550.000","3310.000","270","RES 10K OHM 1% 1/16W 0402"
"R32","10k","TopLayer","RESC1005X40N","6546.000","6057.000","270","RES 10K OHM 1% 1/16W 0402"
"R31","10k","TopLayer","RESC1005X40N","6545.000","4400.000","270","RES 10K OHM 1% 1/16W 0402"
"R30","10k","TopLayer","RESC1005X40N","6545.000","2730.000","270","RES 10K OHM 1% 1/16W 0402"
"R29","10k","TopLayer","RESC1005X40N","6520.071","5824.000","180","RES 10K OHM 1% 1/16W 0402"
"R28","10k","TopLayer","RESC1005X40N","6518.071","4160.000","180","RES 10K OHM 1% 1/16W 0402"
"R27","10k","TopLayer","RESC1005X40N","6520.000","2495.000","180","RES 10K OHM 1% 1/16W 0402"
"R26","10k","TopLayer","RESC1005X37N","1505.008","4518.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 10000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R25","10k","TopLayer","RESC1005X40N","6350.000","1823.000","90","RES 10K OHM 1% 1/16W 0402"
"R24","5.1k","TopLayer","RESC1005X37N","1035.000","4671.992","90","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 5100ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R23","5.1k","TopLayer","RESC1005X37N","1036.000","4530.000","270","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 5100ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R22","4k7","TopLayer","RESC1005X37N","1505.000","4466.000","0","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 4700ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R21","0R","TopLayer","RESC1005X37N","1185.000","4430.000","0","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R20","27R","TopLayer","RESC1005X37N","1150.000","4615.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R19","27R","TopLayer","RESC1005X37N","1150.000","4565.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R18","10k Ohm, 1/8W","TopLayer","RESC1005X40N","5754.000","3512.000","270","RES 10K OHM 1% 1/8W 0402"
"R17","0R","TopLayer","RESC1005X37N","1415.000","4425.000","90","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R14","10k","TopLayer","RESC1005X37N","1605.000","4755.000","270","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 10000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R13","10k","TopLayer","RESC1005X37N","1605.000","4420.000","270","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 10000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R12","27R","TopLayer","RESC1005X37N","1895.000","4875.000","270","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R10","0R","TopLayer","RESC1005X37N","1720.000","4560.000","0","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R9","0R","TopLayer","RESC1005X37N","1720.000","4615.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R8","10k Ohm, 1/8W","TopLayer","RESC1005X40N","5715.000","5240.000","270","RES 10K OHM 1% 1/8W 0402"
"R7","1k","TopLayer","RESC1005X40N","2980.000","7220.000","270","RES 1K OHM 1% 1/16W 0402"
"R6","56.2k Ohm","TopLayer","RESC0603X26N","5820.000","5135.000","0","RES 56.2K OHM 1% 1/20W 0201"
"R5","56.2k Ohm","TopLayer","RESC0603X26N","5836.937","3366.000","0","RES 56.2K OHM 1% 1/20W 0201"
"R4","1k","TopLayer","RESC1005X40N","2990.000","5900.000","270","RES 1K OHM 1% 1/16W 0402"
"R3","1k","TopLayer","RESC1005X37N","3317.000","5035.000","0","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 1000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R2","1k","TopLayer","RESC1005X37N","3317.008","3480.000","0","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 1000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R1","10k","TopLayer","RESC1005X37N","2115.000","4110.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 10000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1720.000","4725.000","0","Small Signal Bipolar Transistor, 1.5A I(C), 25V V(BR)CEO, 1-Element, NPN, Silicon"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1720.000","4450.000","0","Small Signal Bipolar Transistor, 1.5A I(C), 25V V(BR)CEO, 1-Element, NPN, Silicon"
"P1","XT60-M","TopLayer","AMASS_XT60-M","5230.000","1930.000","180","Plug; DC supply; XT60; male; PIN: 2; for cable; soldered; 30A; 500V"
"L2","3.3uH, 30mOhm","TopLayer","IND_VLS6045EX-3R3N","5040.000","5210.000","180","FIXED IND 3.3UH 4.95A 30MOHM SMD"
"L1","3.3uH, 30mOhm","TopLayer","IND_VLS6045EX-3R3N","5058.000","3458.000","180","FIXED IND 3.3UH 4.95A 30MOHM SMD"
"J22","Screw Terminal","TopLayer","CUI_TB005-762-02BE","7775.000","6145.000","90","2~24 Poles, Screw Type, Horizontal, 7.62 Pitch, 26~10 (AWG), Terminal Block Connector"
"J21","FTS-102-01-F-S","TopLayer","HDR_1x2_1.27MM","3545.000","5540.000","270","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, Solder Terminal"
"J20","Screw Terminal","TopLayer","CUI_TB005-762-02BE","7780.000","4810.000","90","2~24 Poles, Screw Type, Horizontal, 7.62 Pitch, 26~10 (AWG), Terminal Block Connector"
"J19","Screw Terminal","TopLayer","CUI_TB005-762-02BE","7775.000","3125.000","90","2~24 Poles, Screw Type, Horizontal, 7.62 Pitch, 26~10 (AWG), Terminal Block Connector"
"J18","217179-0001","TopLayer","FP-2171790001-MFG","764.783","4600.000","270","USB Connector, 16 Contact(s), Female, Right Angle, Surface Mount Terminal, Locking, Receptacle"
"J17","Screw Terminal","TopLayer","PHOENIX_1725656","7890.000","7570.000","90","Block, Terminal; 6 A; 63 V; 2.54 mm; 26 to 20 AWG; 2; Screw; Soldering; 1.5 kV"
"J16","FTS-102-01-F-S","TopLayer","HDR_1x2_1.27MM","1230.000","5685.000","0","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, Solder Terminal"
"J15","732-61304021821-ND","TopLayer","SAMTEC_MTSW-120-X-X-D-X","3500.000","6650.000","270","Pin Header, Board-to-Board, 2.54 mm, 2 Rows, 40 Contacts, Through Hole, MTSW Series"
"J14","FTS-103-01-F-S","TopLayer","HDR_1x3_1.27MM","4640.000","3520.000","0","Board Connector, 3 Contact(s), 1 Row(s), Male, Straight, Solder Terminal"
"J13","Screw Terminal","TopLayer","PHOENIX_1725656","7890.000","7090.000","90","Block, Terminal; 6 A; 63 V; 2.54 mm; 26 to 20 AWG; 2; Screw; Soldering; 1.5 kV"
"J12","FAN","TopLayer","CONN4_BM04B-SRSS_JST","2800.000","5423.315","180","CONN HEADER SMD 4POS 1MM"
"J11","FTS-102-01-F-S","TopLayer","HDR_1x2_1.27MM","1515.000","5450.000","90","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, Solder Terminal"
"J9","217179-0001","TopLayer","FP-2171790001-MFG","764.783","6400.000","270","USB Connector, 16 Contact(s), Female, Right Angle, Surface Mount Terminal, Locking, Receptacle"
"J8","FTS-102-01-F-S","TopLayer","HDR_1x2_1.27MM","2930.000","4725.000","180","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, Solder Terminal"
"J7","B5B-XH-A","TopLayer","JST_B5B-XH-A","3229.331","4610.000","270","CONN HEADER VERT 5POS 2.5MM"
"J6","B5B-XH-A","TopLayer","JST_B5B-XH-A","3229.331","3910.000","270","CONN HEADER VERT 5POS 2.5MM"
"J5","BM04B-SRSS-TB","TopLayer","CONN4_BM04B-SRSS_JST","2850.000","3703.315","180","CONN HEADER SMD 4POS 1MM"
"J4","BM04B-SRSS-TB","TopLayer","CONN4_BM04B-SRSS_JST","2500.000","3703.315","180","CONN HEADER SMD 4POS 1MM"
"J3","BM04B-SRSS-TB","TopLayer","CONN4_BM04B-SRSS_JST","2150.000","3703.315","180","CONN HEADER SMD 4POS 1MM"
"F2","Fuse Clip","TopLayer","696108003002","7090.118","7520.000","180","Fuses/Accessories"
"F1","Fuse Clip","TopLayer","696108003002","7085.118","7035.000","180","Fuses/Accessories"
"ESP32-S3-WROOM-1U-N16R8","ESP32-S3-WROOM-1U-N16R8","TopLayer","XCVR_ESP32-S3-WROOM-1U-N16R8","2390.787","4523.937","90","Module; Wi-Fi/Bluetooth; transceiver; 16MB FLASH/8MB PSRAM/512KB SRAM/384KB ROM; 3.0-3.6V; 18x25.5x3.2mm"
"D12","SP3022-01ETG","TopLayer","SOD882","950.000","4558.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D11","SP3022-01ETG","TopLayer","SOD882","950.000","4642.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D10","SP3022-01ETG","TopLayer","SOD882","961.000","4414.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D9","10V Zener Diode","TopLayer","CR_BZT52_DIO","6350.000","2006.000","270","Zener Diode, 10V, 0.25W, X1-Dfn1006 Rohs Compliant: Yes"
"D8","GREEN","TopLayer","LED0402G","3196.299","3480.000","0","Single Color LED, Yellow Green, 0.5mm"
"D7","RED","TopLayer","LED0402R","3203.701","5035.000","0","Single Color LED, Super Red, 0.5mm"
"D6","GREEN","TopLayer","LED0402G","2980.000","7330.000","90","Single Color LED, Yellow Green, 0.5mm"
"D5","SMBJ5.0A","TopLayer","DO-214AASMB_J-BEND_LTF-M","5050.000","4405.000","0","TVS DIODE 5VWM 9.2VC DO214AA"
"D4","SP3022-01ETG","TopLayer","SOD882","980.000","6470.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","SP3022-01ETG","TopLayer","SOD882","980.000","6327.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D2","SP3022-01ETG","TopLayer","SOD882","980.000","6055.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D1","RED","TopLayer","LED0402R","2990.000","5780.000","270","Single Color LED, Super Red, 0.5mm"
"C57","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6816.000","5596.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C56","1000uF Cap","TopLayer","CAP_PKPZ_10X20_LOW_RUB","7238.425","5380.000","0","CAP ALUM 1000UF 20% 35V RADIAL"
"C55","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6815.000","3941.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C54","1000uF Cap","TopLayer","CAP_PKPZ_10X20_LOW_RUB","7243.425","3733.000","0","CAP ALUM 1000UF 20% 35V RADIAL"
"C53","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7517.000","6072.000","270","CAP CER 0.22UF 25V X7R 0603"
"C52","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7517.000","6232.000","90","CAP CER 0.22UF 25V X7R 0603"
"C51","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7517.000","5647.000","90","CAP CER 0.22UF 25V X7R 0603"
"C50","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7517.000","6657.000","270","CAP CER 0.22UF 25V X7R 0603"
"C49","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7520.000","4420.000","270","CAP CER 0.22UF 25V X7R 0603"
"C48","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7520.000","4580.000","90","CAP CER 0.22UF 25V X7R 0603"
"C47","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7520.000","3995.000","90","CAP CER 0.22UF 25V X7R 0603"
"C46","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7520.000","5005.000","270","CAP CER 0.22UF 25V X7R 0603"
"C45","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6815.000","2260.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C44","1000uF Cap","TopLayer","CAP_PKPZ_10X20_LOW_RUB","7241.575","2045.000","0","CAP ALUM 1000UF 20% 35V RADIAL"
"C43","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7525.000","2735.000","270","CAP CER 0.22UF 25V X7R 0603"
"C42","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7525.000","2895.000","90","CAP CER 0.22UF 25V X7R 0603"
"C41","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7525.000","2310.000","90","CAP CER 0.22UF 25V X7R 0603"
"C40","0.22 uF, 25V","TopLayer","CAP_1608_TDK-M","7525.000","3320.000","270","CAP CER 0.22UF 25V X7R 0603"
"C38","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6574.000","5712.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C37","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6570.000","6297.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C36","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6575.000","4061.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C35","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6578.000","4646.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C34","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6566.000","2375.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C33","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6570.000","2960.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C32","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6674.000","6131.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C31","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6675.500","6715.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C30","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6675.000","4470.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C29","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6675.000","5068.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C28","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6675.000","2800.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C27","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6680.000","3380.000","0","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C26","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6374.000","5933.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C25","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6370.000","4275.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C24","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","6370.000","2605.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C23","100nF, 50V","TopLayer","CAPC1005X55N","1505.000","4665.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C22","100nF, 50V","TopLayer","CAPC1005X55N","1150.000","4490.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C21","100nF, 50V","TopLayer","CAPC1005X55N","1045.000","4415.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C20","4.7uF, 16V","TopLayer","CAPC1005X55N","1365.000","4425.000","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 20% +Tol, 20% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0402"
